City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Pozo Colorado,PY,-23.4923,-58.7972,77.43,42,0,6.29,clear sky
308,Pevek,RU,69.7008,170.3133,-13.7,87,100,10.85,overcast clouds
309,Fairmont,US,39.4851,-80.1426,57.2,26,1,2.64,clear sky
310,Awbari,LY,26.5921,12.7805,66.02,25,97,6.4,overcast clouds
311,Pimentel,PE,-6.8367,-79.9342,77.0,73,75,9.22,broken clouds
312,Oistins,BB,13.0667,-59.5333,77.0,65,40,20.71,scattered clouds
313,Viedma,AR,-40.8135,-62.9967,72.39,37,97,20.8,overcast clouds
314,Pochutla,MX,15.7432,-96.4661,84.2,65,40,5.23,scattered clouds
315,Ngunguru,NZ,-35.6167,174.5,73.99,65,100,5.99,overcast clouds
316,Sawakin,SD,19.1059,37.3321,75.54,81,63,10.83,broken clouds
317,Xinyang,CN,32.1228,114.0656,49.28,84,39,3.31,scattered clouds
318,Holme,DK,56.1138,10.1725,28.99,86,0,1.14,clear sky
319,Hobbs,US,32.7026,-103.136,70.0,42,1,17.27,clear sky
320,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,71,75,17.27,broken clouds
321,Mount Gambier,AU,-37.8333,140.7667,62.6,67,75,12.66,broken clouds
322,Halifax,CA,44.6453,-63.5724,33.8,93,100,8.05,overcast clouds
323,Evensk,RU,61.95,159.2333,-10.8,83,100,3.78,overcast clouds
324,Changji,CN,44.0167,87.3167,28.4,93,90,4.47,light intensity drizzle
325,Cap Malheureux,MU,-19.9842,57.6142,75.99,82,8,3.0,clear sky
326,Mount Isa,AU,-20.7333,139.5,91.4,33,0,5.75,clear sky
327,Poum,NC,-20.2333,164.0167,79.7,72,0,5.88,clear sky
328,Krasyliv,UA,49.6519,26.9725,21.87,95,99,6.31,overcast clouds
329,Sola,VU,-13.8833,167.55,82.4,89,90,5.75,moderate rain
330,Gizo,SB,-8.103,156.8419,83.43,71,15,1.86,moderate rain
331,La Asuncion,VE,11.0333,-63.8628,74.01,85,93,9.71,overcast clouds
332,Coquimbo,CL,-29.9533,-71.3436,64.4,82,40,9.22,scattered clouds
333,Zhigansk,RU,66.7697,123.3711,6.82,94,100,22.5,light snow
334,Fairbanks,US,64.8378,-147.7164,28.99,63,90,2.28,overcast clouds
335,Cabedelo,BR,-6.9811,-34.8339,79.47,78,0,10.07,clear sky
336,Lavrentiya,RU,65.5833,-171.0,-5.08,83,25,11.39,scattered clouds
337,Grenaa,DK,56.4158,10.8783,27.0,86,0,1.14,clear sky
338,Povenets,RU,62.8487,34.8262,-7.29,87,0,5.7,clear sky
339,Nereju,RO,45.7167,26.7167,12.99,92,100,3.69,overcast clouds
340,Seoul,KR,37.5683,126.9778,44.6,76,0,2.3,mist
341,Soe,ID,-9.8607,124.284,76.55,76,100,0.89,overcast clouds
342,Marawi,PH,7.9986,124.2928,81.0,81,27,4.0,scattered clouds
343,Saryozek,KZ,44.3583,77.9753,37.67,73,100,5.91,overcast clouds
344,San Vicente,AR,-26.6167,-54.1333,64.33,88,5,3.47,clear sky
345,Ust-Maya,RU,60.4167,134.5333,9.68,94,100,8.55,overcast clouds
346,Necochea,AR,-38.5473,-58.7368,60.01,74,0,5.01,clear sky
